notes,content,start,end,group,type,className,subgroup
Deadline,Plan,2019-10-29,NA,All,point,,
Deadline,Report,2019-11-28,NA,All,point,,
Deadline,Presentation slides,2019-11-29,NA,All,point,,
Deadline,Presentation,2019-12-02,NA,All,point,,
,Write Plan,2019-10-21,2019-10-29,All,range,Write_up,
,EDA,2019-10-25,2019-11-01,Task 1,range,Research,
,Variable Summarising,2019-10-29,2019-11-03,Task 1,range,Research,
,Important Variable Selection,2019-11-03,2019-11-05,Task 1,range,Research,
,Generate Models,2019-11-05,2019-11-09,Task 1,range,Analysis,
,Test Models,2019-11-10,2019-11-11,Task 1,range,Analysis,
,Compare Models,2019-11-12,2019-11-14,Task 1,range,Analysis,
,Finalise Model,2019-11-15,2019-11-19,Task 1,range,Analysis,
,Produce plots ,2019-11-19,2019-11-20,Task 1,range,Planning,
,EDA,2019-10-25,2019-10-29,Task 2,range,Research,
,Variable Summarising,2019-10-29,2019-11-02,Task 2,range,Research,
,Important Variable Selection,2019-11-03,2019-11-04,Task 2,range,Research,
,Generate Low Rank Models,2019-11-05,2019-11-07,Task 2,range,Analysis,
,Test Low Rank Models,2019-11-08,2019-11-09,Task 2,range,Analysis,
,Compare Models,2019-11-10,2019-11-11,Task 2,range,Analysis,
,Generate High Rank Models,2019-11-12,2019-11-13,Task 2,range,Analysis,
,Test High Rank Models,2019-11-14,2019-11-15,Task 2,range,Analysis,
,Compare Models,2019-11-16,2019-11-17,Task 2,range,Analysis,
,Finalise Model,2019-11-18,2019-11-20,Task 2,range,Analysis,
,Produce plots ,2019-11-21,2019-11-22,Task 2,range,Planning,
,Write Report,2019-11-21,2019-11-28,All,range,Write_up,
,Produce Slides,2019-11-21,2019-11-29,All,range,Write_up,
,Rehearse Presentation,2019-11-28,2019-12-02,All,range,Write_up,
